item_id,year,r_id,cat_id,calories,total_fat,saturated_fat,trans_fat,cholesterol,sodium,potassium,carbs,protein,sugar,dietary_Fiber
45397,2018,45,9,700.0,29.0,13.0,0.0,140.0,2270.0,,68.0,45.0,12.0,4.0
45398,2018,45,9,700.0,29.0,13.0,0.0,140.0,2250.0,,67.0,45.0,15.0,4.0
45399,2018,45,9,690.0,29.0,12.5,0.0,140.0,2170.0,,66.0,45.0,8.0,7.0
45400,2018,45,9,760.0,35.0,16.5,0.0,115.0,2290.0,,66.0,44.0,9.0,6.0
45402,2018,45,9,760.0,35.0,17.0,0.0,115.0,2460.0,,66.0,44.0,11.0,4.0
45403,2018,45,9,760.0,35.0,17.0,0.0,115.0,2440.0,,65.0,44.0,14.0,4.0
45404,2018,45,9,750.0,35.0,16.5,0.0,115.0,2360.0,,64.0,44.0,8.0,7.0
45405,2018,45,9,1040.0,65.0,21.0,0.0,130.0,2695.0,,69.0,44.0,8.0,6.0
45407,2018,45,9,1040.0,65.0,21.5,0.0,130.0,2865.0,,69.0,44.0,4.0,4.0
45408,2018,45,9,1040.0,65.0,21.5,0.0,130.0,2845.0,,68.0,44.0,13.0,4.0
45409,2018,45,9,1030.0,65.0,21.0,0.0,130.0,2765.0,,67.0,44.0,9.0,7.0
45410,2018,45,9,990.0,59.0,17.0,0.0,155.0,2505.0,,71.0,46.0,10.0,6.0
45412,2018,45,9,990.0,59.0,17.5,0.0,155.0,2675.0,,71.0,46.0,12.0,4.0
45413,2018,45,9,990.0,59.0,17.5,0.0,155.0,2655.0,,70.0,46.0,15.0,4.0
45414,2018,45,9,980.0,59.0,17.0,0.0,155.0,2575.0,,69.0,46.0,9.0,7.0
45415,2018,45,9,650.0,24.5,10.0,0.0,100.0,1490.0,,58.0,50.0,5.0,6.0
45417,2018,45,9,650.0,24.5,10.5,0.0,100.0,1660.0,,58.0,50.0,7.0,4.0
45418,2018,45,9,650.0,24.5,10.5,0.0,100.0,1640.0,,57.0,50.0,10.0,4.0
45419,2018,45,9,640.0,24.5,10.0,0.0,100.0,1560.0,,56.0,50.0,4.0,7.0
45425,2018,45,9,820.0,24.5,8.0,0.0,130.0,1765.0,,90.0,59.0,26.0,5.0
45427,2018,45,9,820.0,24.5,8.5,0.0,130.0,1935.0,,90.0,59.0,28.0,3.0
45428,2018,45,9,820.0,24.5,8.5,0.0,130.0,1915.0,,89.0,59.0,31.0,3.0
45429,2018,45,9,810.0,24.5,8.0,0.0,130.0,1835.0,,88.0,59.0,25.0,6.0
